case_id,category,text,redacted_text,expected_canonical,baseline_canonical,post_processed_canonical,baseline_matched,post_processed_matched
V15R001,short-person-direct,Endang Hutapea,[PER1],[token-ent],[token-ent],[token-ent],true,true
V15R002,short-person-direct,Brian Hidayat Chaniago,[PER1],[token-ent],[token-ent],[token-ent],true,true
V15R003,short-person-direct,Vanessa Kusuma Surya,[PER1],[token-ent],[token-ent],[token-ent],true,true
V15R004,short-person-direct,Siti Latuconsina,[PER1],[token-ent],[token-ent],[token-ent],true,true
V15R005,short-person-direct,Felicia,[PER1],[token-ent],[token-ent],[token-ent],true,true
V15R006,short-person-direct,Rafael,[PER1],[token-ent],[token-ent],[token-ent],true,true
V15R007,short-person-direct,William,[PER1],[token-ent],[token-ent],[token-ent],true,true
V15R008,short-person-direct,Natasha,[PER1],[token-ent],[token-ent],[token-ent],true,true
V15R009,short-person-direct,Gabriel Baswedan,[PER1],[token-ent],[token-ent],[token-ent],true,true
V15R010,short-person-direct,Sri,[PER1],[token-ent],[token-ent],[token-ent],true,true
V15R011,short-person-direct,Ayu Alexandra Latuconsina,[PER1],[token-ent],[token-ent],[token-ent],true,true
V15R012,short-person-direct,Jason Liem,[PER1],[token-ent],[token-ent],[token-ent],true,true
V15R013,short-person-direct,Wati,[PER1],[token-ent],[token-ent],[token-ent],true,true
V15R014,short-person-direct,Sri Warouw,[PER1],[token-ent],[token-ent],[token-ent],true,true
V15R015,short-person-direct,Joe Warouw,[PER1],[token-ent],[token-ent],[token-ent],true,true
V15R016,short-person-direct,Iwan Wulandari Sani,[PER1],[token-ent],[token-ent],[token-ent],true,true
V15R017,short-person-direct,Wahyu,[PER1],[token-ent],[token-ent],[token-ent],true,true
V15R018,short-person-direct,Sri Sudibyo,[PER1],[token-ent],[token-ent],[token-ent],true,true
V15R019,short-person-direct,Jessica Setiawan Warouw,[PER1],[token-ent],[token-ent],[token-ent],true,true
V15R020,short-person-direct,Stella Kartanegara,[PER1],[token-ent],[token-ent],[token-ent],true,true
V15R021,short-person-answer-formal,Nama penerimanya Steven Fitriani Malaihollo.,Nama penerimanya [PER1].,Nama penerimanya [token-ent].,Nama penerimanya [token-ent].,Nama penerimanya [token-ent].,true,true
V15R022,short-person-answer-formal,Nama penerimanya Brian.,Nama penerimanya [PER1].,Nama penerimanya [token-ent].,Nama penerimanya [token-ent].,Nama penerimanya [token-ent].,true,true
V15R023,short-person-answer-formal,Nama penerimanya Tono Dominic Lumentut.,Nama penerimanya [PER1].,Nama penerimanya [token-ent].,Nama penerimanya [token-ent].,Nama penerimanya [token-ent].,true,true
V15R024,short-person-answer-formal,Rekening tujuannya atas nama Ayu Setiawan Simanjuntak.,Rekening tujuannya atas nama [PER1].,Rekening tujuannya atas nama [token-ent].,Rekening tujuannya atas nama [token-ent].,Rekening tujuannya atas nama [token-ent].,true,true
V15R025,short-person-answer-formal,Atas nama Vanessa.,Atas nama [PER1].,Atas nama [token-ent].,Atas nama [token-ent].,Atas nama [token-ent].,true,true
V15R026,short-person-answer-formal,Rekening tujuannya atas nama Brian Wulandari Chaniago.,Rekening tujuannya atas nama [PER1].,Rekening tujuannya atas nama [token-ent].,Rekening tujuannya atas nama [token-ent].,Rekening tujuannya atas nama [token-ent].,true,true
V15R027,short-person-answer-formal,Pemilik rekening tujuan Iwan Wijaya.,Pemilik rekening tujuan [PER1].,Pemilik rekening tujuan [token-ent].,Pemilik rekening tujuan [token-ent].,Pemilik rekening tujuan [token-ent].,true,true
V15R028,short-person-answer-formal,Atas nama Gabriel Nathaniel Latuconsina.,Atas nama [PER1].,Atas nama [token-ent].,Atas nama [token-ent].,Atas nama [token-ent].,true,true
V15R029,short-person-answer-formal,Atas nama Jessica Kartanegara.,Atas nama [PER1].,Atas nama [token-ent].,Atas nama [token-ent].,Atas nama [token-ent].,true,true
V15R030,short-person-answer-formal,Nama pemilik rekening tujuan Rafael Ratulangi.,Nama pemilik rekening tujuan [PER1].,Nama pemilik rekening tujuan [token-ent].,Nama pemilik rekening tujuan [token-ent].,Nama pemilik rekening tujuan [token-ent].,true,true
V15R031,short-person-answer-formal,Atas nama Joko Syahputra.,Atas nama [PER1].,Atas nama [token-ent].,Atas nama [token-ent].,Atas nama [token-ent].,true,true
V15R032,short-person-answer-formal,Atas nama Eko Wibowo Adiwangsa.,Atas nama [PER1].,Atas nama [token-ent].,Atas nama [token-ent].,Atas nama [token-ent].,true,true
V15R033,short-person-answer-formal,Penerima transfernya Yanti Lestari Siahaan.,Penerima transfernya [PER1].,Penerima transfernya [token-ent].,Penerima transfernya [token-ent].,Penerima transfernya [token-ent].,true,true
V15R034,short-person-answer-formal,Nama pemilik rekening tujuan Bambang Vincent Kusuma.,Nama pemilik rekening tujuan [PER1].,Nama pemilik rekening tujuan [token-ent].,Nama pemilik rekening tujuan [token-ent].,Nama pemilik rekening tujuan [token-ent].,true,true
V15R035,short-person-answer-formal,Nama penerimanya Joko Setiawan Paniago.,Nama penerimanya [PER1].,Nama penerimanya [token-ent].,Nama penerimanya [token-ent].,Nama penerimanya [token-ent].,true,true
V15R036,short-person-answer-formal,Rekening tujuannya atas nama Siti Nasution.,Rekening tujuannya atas nama [PER1].,Rekening tujuannya atas nama [token-ent].,Rekening tujuannya atas nama [token-ent].,Rekening tujuannya atas nama [token-ent].,true,true
V15R037,short-person-answer-formal,Atas nama Michelle Pratama Ratulangi.,Atas nama [PER1].,Atas nama [token-ent].,Atas nama [token-ent].,Atas nama [token-ent].,true,true
V15R038,short-person-answer-formal,Pemilik rekening tujuan Iwan Matthew Liem.,Pemilik rekening tujuan [PER1].,Pemilik rekening tujuan [token-ent].,Pemilik rekening tujuan [token-ent].,Pemilik rekening tujuan [token-ent].,true,true
V15R039,short-person-answer-formal,Nama penerimanya Yudi Kartanegara.,Nama penerimanya [PER1].,Nama penerimanya [token-ent].,Nama penerimanya [token-ent].,Nama penerimanya [token-ent].,true,true
V15R040,short-person-answer-formal,Nama penerimanya Wati Frederick Wattimena.,Nama penerimanya [PER1].,Nama penerimanya [token-ent].,Nama penerimanya [token-ent].,Nama penerimanya [token-ent].,true,true
V15R041,short-person-answer-noisy,an kevin sebastian chaniago,an [PER1],an [token-ent],an [token-ent],an [token-ent],true,true
V15R042,short-person-answer-noisy,pmlk rek tujuan jessica theodore putra,pmlk rek tujuan [PER1],pmlk rek tujuan [token-ent],pmlk rek tujuan [token-ent],pmlk rek tujuan [token-ent],true,true
V15R043,short-person-answer-noisy,pmlk rek tujuan tri stephanie tanjung,pmlk rek tujuan tri [PER1],pmlk rek tujuan [token-ent],pmlk rek tujuan tri [token-ent],pmlk rek tujuan tri [token-ent],false,false
V15R044,short-person-answer-noisy,nm pmlk rekeningnya felicia,nm pmlk rekeningnya [PER1],nm pmlk rekeningnya [token-ent],nm pmlk rekeningnya [token-ent],nm pmlk rekeningnya [token-ent],true,true
V15R045,short-person-answer-noisy,an michael tuasikal,[PER1],an [token-ent],[token-ent],[token-ent],false,false
V15R046,short-person-answer-noisy,nm pmlk rekeningnya ayu saputra baswedan,nm pmlk rekeningnya [PER1],nm pmlk rekeningnya [token-ent],nm pmlk rekeningnya [token-ent],nm pmlk rekeningnya [token-ent],true,true
V15R047,short-person-answer-noisy,pmlk rek tujuan clara sebastian sastro,pmlk rek tujuan [PER1],pmlk rek tujuan [token-ent],pmlk rek tujuan [token-ent],pmlk rek tujuan [token-ent],true,true
